epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,147.412,1.01918,2.91517,1.30795,0.63941,0.40809,0.47311,0.32714,1.09946,3.05751,1.23432,0.00015,0.00015,0.00015
2,300.527,0.93434,1.61166,1.1745,0.38893,0.4815,0.43291,0.26071,1.41877,3.33743,1.55924,0.000305908,0.000305908,0.000305908
3,442.827,1.03645,1.57455,1.21727,0.61246,0.55771,0.50044,0.30116,1.36891,2.96599,1.71115,0.000457592,0.000457592,0.000457592
4,579.889,0.99337,1.46401,1.24294,0.69866,0.34732,0.4507,0.27576,1.45413,3.62242,2.0485,0.000605052,0.000605052,0.000605052
5,716.391,1.07756,1.48778,1.27783,0.53543,0.5743,0.52595,0.30263,1.42772,5.36716,1.84901,0.000748288,0.000748288,0.000748288
6,851.671,1.08986,1.33843,1.2692,0.24874,0.42844,0.24709,0.14936,1.4875,3.80464,2.10529,0.0008873,0.0008873,0.0008873
7,986.549,1.14258,1.41943,1.32082,0.36766,0.30409,0.3393,0.17301,1.67786,3.97389,2.13606,0.0009208,0.0009208,0.0009208
8,1122.15,1.03858,1.28863,1.23369,0.37543,0.30357,0.22355,0.11813,1.93948,5.20841,2.67714,0.0009076,0.0009076,0.0009076
9,1261.26,1.04405,1.27973,1.2636,0.27154,0.36111,0.18183,0.09719,1.84236,3.16382,2.28061,0.0008944,0.0008944,0.0008944
10,1396.94,1.01316,1.14319,1.25837,0.45063,0.4512,0.41372,0.24668,1.69721,2.59751,2.54515,0.0008812,0.0008812,0.0008812
11,1531.54,0.99596,1.08982,1.23693,0.72301,0.55285,0.66304,0.45089,1.14156,2.10809,1.68044,0.000868,0.000868,0.000868
12,1666.76,1.03925,1.08116,1.22646,0.58592,0.68705,0.6693,0.41871,1.11699,2.00292,1.64814,0.0008548,0.0008548,0.0008548
13,1802.51,1.01079,1.09379,1.23372,0.73967,0.76646,0.7921,0.55394,1.01829,1.62575,1.38828,0.0008416,0.0008416,0.0008416
14,1938.94,1.05047,1.07881,1.29479,0.66792,0.71893,0.78919,0.53385,1.0816,1.56957,1.42981,0.0008284,0.0008284,0.0008284
15,2078.14,1.01474,1.0619,1.26838,0.64294,0.7693,0.75887,0.46274,1.17157,1.49557,1.47086,0.0008152,0.0008152,0.0008152
16,2214.75,1.00326,0.98441,1.23336,0.67696,0.7705,0.74843,0.49103,1.23394,1.75671,1.51452,0.000802,0.000802,0.000802
17,2352.6,0.96719,0.95298,1.20436,0.69288,0.71825,0.73142,0.54663,1.07447,1.38172,1.32712,0.0007888,0.0007888,0.0007888
18,2487.59,0.96362,0.89001,1.19728,0.78519,0.55124,0.65982,0.45063,1.10587,1.69312,1.37195,0.0007756,0.0007756,0.0007756
19,2622.07,0.95247,0.84723,1.16389,0.8064,0.58294,0.70054,0.52128,1.01431,1.68554,1.26837,0.0007624,0.0007624,0.0007624
20,2757.2,0.97323,0.9147,1.20819,0.78442,0.69954,0.76161,0.54107,0.98378,1.48687,1.29478,0.0007492,0.0007492,0.0007492
21,2892.71,0.9672,0.88717,1.20714,0.84993,0.76111,0.82669,0.59898,0.9228,1.28041,1.20764,0.000736,0.000736,0.000736
